year,month,averageTemp,cages,localities,numberSalmon,biomass,feedConsumption,restock,withdrawals
2007,January,6.7906607409,798,104,36102.062,79788.554445,8216.611,322.324,12387.893984
2007,February,5.4034271997,760,102,34381.875,75400.708996,6580.691,94.6,10249.355632
2007,March,5.238819283,725,97,32500.186,67752.407342,6990.323,765.063,13395.831006
2007,April,5.6698584254,708,102,33485.437,62733.355796,6565.38,3137.325,10415.413919
2007,May,6.5647141833,777,106,40967.466,58703.609972,9116.292,9487.682,12435.274786
2007,June,7.5112931481,788,101,41766.854,57111.617096,10899.253,5045.727,9098.27081
2007,July,8.142019343,817,101,43619.022,66827.576993,16895.712,2791.009,5609.983064
2007,August,9.159921,843,108,43739.395,80664.477374,23256.836,882.924,7484.550625
2007,September,9.154666462,841,110,45923.207,87429.367069,21328.209,5046.465,11419.435012
2007,October,8.7249123369,863,112,48998.866,88721.24271,19529.608,4758.761,14444.750375
2007,November,7.8761908757,834,110,47236.832,84396.30918,13876.63,2097.022,15113.72175
2007,December,6.8586522432,809,105,46183.767,81178.569741,10096.494,510.455,10762.245681
2008,January,5.7615349177,765,98,43870.477,78080.801867,9118.315,0,11141.763038
2008,February,5.1152285008,727,98,42869.944,74680.148628,7997.509,803.009,11153.421125
2008,March,4.6971656497,694,97,41472.024,72104.38823,7412.103,620.05,10599.786718
2008,April,5.0418403755,678,102,41076.354,66911.645536,7675.124,2020.358,7395.815593
2008,May,6.2535876437,770,110,46933.652,67594.339442,10314.16,7364.867,12787.911293
2008,June,7.3135927205,856,114,54384.08,71820.511018,14241.35,9441.308,12309.182828
2008,July,8.0708824465,872,111,54297.022,83157.740195,22066.804,2213.737,12334.327375
2008,August,8.6578294137,847,114,53302.054,91697.741653,26491.682,2864.966,16041.654703
2008,September,8.8548234787,885,118,56897.843,98647.334564,25549.251,7050.607,16041.223375
2008,October,9.1302421001,910,121,56584.494,102280.357977,23413.104,4206.701,17386.394998
2008,November,8.2338548935,830,109,48322.219,89209.787654,15818.533,481.416,17286.500875
2008,December,6.7804422384,846,110,51545.104,96333.676549,13441.915,278.936,18288.0985
2009,January,5.802944107,796,105,48911.117,92781.455315,10889.773,0,11141.763038
2009,February,4.7584501406,751,99,47721.989,86341.353663,9140.823,813.315,11153.421125
2009,March,4.5557049612,694,96,42801.157,71631.942357,7501.34,1483.701,10354.483843
2009,April,4.9467285243,690,103,43345.638,72737.49809,7696.666,1842.119,7395.815593
2009,May,6.2536380683,820,118,56048.881,81239.882542,12083.452,8125.824,12787.911293
2009,June,7.2379632933,881,120,57041.601,83142.19608,16924.124,3985.401,12309.182828
2009,July,7.56773881,878,115,56158.693,93164.800425,26292.052,3193.311,12334.327375
2009,August,8.8064947142,847,116,55320.754,102251.155466,30317.588,3200.418,16041.654703
2009,September,10.1018738885,890,117,59931.827,112416.797773,28530.172,7192.294,16041.223375
2009,October,8.8283981955,897,113,59504.78,116141.113678,25701.608,3487.732,17386.394998
2009,November,7.7152051918,887,112,58035.98,115056.517257,20279.247,738.59,17286.500875
2009,December,6.610097339,828,106,54634.319,113338.840245,17412.108,9.969,18288.0985
2010,January,5.4130500743,774,96,51797.334,106736.716926,12062.787,0,15037.812625
2010,February,4.2719242167,745,96,50641.663,103182.054302,10575.164,1617.816,13168.994125
2010,March,3.9444119641,709,95,49959.346,93502.16945,9903.303,3160.153,17370.53025
2010,April,4.4834378582,696,98,49338.765,89020.136261,9007.068,2573.485,11453.768375
2010,May,5.5567080445,784,109,56470.89,90043.283147,12595.2,9024.031,9291.021625
2010,June,6.5610647397,820,105,58140.524,90566.325915,17539.335,5343.833,13645.536375
2010,July,7.7676207434,852,105,58046.544,100308.231047,25557.402,2427.078,11999.604
2010,August,8.4774242717,847,107,56733.894,106529.405514,29915.7,3699.737,14549.658824
2010,September,8.6298072263,903,117,61747.54,113271.932166,29492.332,8534.754,19041.427122
2010,October,8.1991001148,927,121,64462.03,117592.520348,26413.741,6804.127,19783.885422
2010,November,7.106221739,908,117,62485.536,114163.175667,21197.461,1189.685,19642.173
2010,December,5.6318745795,867,113,58444.07,110257.944341,14660.726,0,17905.778625
2011,January,4.7516353866,838,108,57987.755,106289.658539,10534.434,0,13986.649625
2011,February,4.1814539346,776,103,52685.777,99065.851096,7940.39,0,10412.3195
2011,March,4.1098363975,759,101,51367.921,94017.372105,7559.813,342.987,13236.712125
2011,April,4.4978292722,757,110,51495.456,92933.199885,8052.167,3256.636,5755.765125
2011,May,5.7783540223,860,131,64724.738,92438.572859,12897.984,14144.403,13218.564625
2011,June,7.1959487059,860,124,65572.589,89784.744439,18291.56,7546.037,16226.42775
2011,July,7.6489803168,871,120,65401.928,104071.786099,28333.62,2544.133,9581.88125
2011,August,7.8977015518,890,116,65868.408,115851.606889,33887.165,4139.485,17369.392924
2011,September,8.7168370979,933,122,73112.828,125967.861023,34015.099,10227.822,19150.520302
2011,October,9.0461277546,929,121,73026.417,129757.305343,28636.729,3990.849,19287.356939
2011,November,8.500416232,880,116,68634.672,129513.867852,26090.959,67,21627.088792
2011,December,7.462432435,836,111,65260.542,127978.151502,20303.722,673.4,17730.476125
2012,January,6.1360880169,791,107,62718.317,122031.181086,16269.581,0,19146.131375
2012,February,5.1308694985,739,99,59172.344,115384.601279,13796.675,234.937,14792.26
2012,March,4.939129096,690,95,57189.091,112308.750703,13767.449,741.574,15363.678375
2012,April,5.2194103312,719,109,61115.429,108924.797405,11129.528,4418.594,14299.9765
2012,May,6.0845362959,870,128,74225.501,110655.563797,17019.226,12568.859,12627.925875
2012,June,7.0878415839,881,122,73028.279,108480.981415,21762.213,3167.579,17751.343125
2012,July,7.8509672997,848,111,70112.35,114355.075166,30453.832,1318.428,20161.3235
2012,August,8.7579942619,834,116,70557.287,123624.294059,37805.132,4701.518,22163.967875
2012,September,9.3305480762,869,123,73287.628,128367.713398,33879.898,7421.346,22615.147
2012,October,8.3647056733,889,122,72943.368,129715.661975,29861.446,4956.088,23963.4465
2012,November,7.3058075343,854,117,69303.596,131138.717901,24921.435,100,20411.28075
2012,December,5.7915495754,802,112,65157.826,126354.145361,19089.012,0,18331.63525
2013,January,5.2722215062,759,106,62738.694,122335.618576,15322.349,1214.04,16049.519
2013,February,4.6048532596,729,105,60505.407,118669.39671,11864.476,0,13461.858
2013,March,4.2811954272,684,97,57767.972,111279.959606,10216.29,555.731,15664.24225
2013,April,4.3818151023,663,94,58052.805,101940.385332,8730.78,3346.692,15542.009375
2013,May,5.6679740296,767,109,65197.283,101053.7214,14104.655,10911.674,12054.768257
2013,June,6.982972469,876,115,73562.659,105836.921674,21627.111,11105.563,13718.1365
2013,July,8.4276649673,863,109,70412.73,119543.330227,32862.38,1752.777,12806.569977
2013,August,9.0935235751,870,114,70430.426,131726.332836,39465.32,3531.874,20317.704625
2013,September,9.4469576873,869,120,73424.911,134598.423083,36456.277,8368.661,25754.995625
2013,October,8.5006565351,859,120,74205.688,133371.916011,34559.711,6899.506,32106.2475
2013,November,7.7989521668,803,113,70030.478,129126.083625,25815.232,778.238,25874.797375
2013,December,6.8979138973,745,101,66067.539,125522.751903,19270.396,194.249,19960.986375
2014,January,5.6239691363,714,99,63743.369,124761.317017,17156.196,691.971,14917.797625
2014,February,4.6641816971,684,94,61315.932,124657.955799,14518.068,233.726,10722.6395
2014,March,4.8203730298,658,90,59001.248,122826.638745,15167.93,0,15197.435625
2014,April,5.1099026219,632,101,59969.473,111273.118354,12501.144,4932.211,20252.26475
2014,May,6.0847827655,745,105,74311.756,110510.026991,16317.816,17951.088,16044.287875
2014,June,7.0896519138,756,102,72464.379,110439.252194,21793.698,3728.122,18885.15125
2014,July,7.9019839815,747,102,71769.107,117327.687839,29897.723,2634.092,15273.632125
2014,August,8.7647144041,800,116,77364.682,128845.422474,36913.8,8720.159,20271.975625
2014,September,9.1393485525,835,123,80775.215,136591.09687,38962.415,8092.659,26895.641375
2014,October,8.5663472123,772,114,77780.177,130273.726404,34041.025,6947.577,28392.5285
2014,November,7.6995153196,767,110,76572.792,133875.599907,29458.782,1619.642,24488.20075
2014,December,7.1585575738,727,104,72300.126,134138.553304,22323.566,23.331,14851.04825
,, ,,,,,,,
