1.00,0.98,0.95,0.88,0.81,0.91,0.86,0.89,0.87,0.90,0.90,0.86
0.98,1.00,0.98,0.95,0.89,0.96,0.90,0.92,0.88,0.91,0.90,0.85
0.95,0.98,1.00,0.97,0.91,0.97,0.88,0.89,0.84,0.86,0.86,0.80
0.88,0.95,0.97,1.00,0.95,0.97,0.89,0.87,0.81,0.82,0.81,0.76
0.81,0.89,0.91,0.95,1.00,0.96,0.93,0.92,0.88,0.86,0.85,0.81
0.91,0.96,0.97,0.97,0.96,1.00,0.94,0.93,0.90,0.91,0.90,0.86
0.86,0.90,0.88,0.89,0.93,0.94,1.00,0.98,0.97,0.97,0.97,0.95
0.89,0.92,0.89,0.87,0.92,0.93,0.98,1.00,0.99,0.99,0.98,0.96
0.87,0.88,0.84,0.81,0.88,0.90,0.97,0.99,1.00,1.00,0.99,0.98
0.90,0.91,0.86,0.82,0.86,0.91,0.97,0.99,1.00,1.00,1.00,0.99
0.90,0.90,0.86,0.81,0.85,0.90,0.97,0.98,0.99,1.00,1.00,0.99
0.86,0.85,0.80,0.76,0.81,0.86,0.95,0.96,0.98,0.99,0.99,1.00
