P, D, Q, MAPE
0, 0, 0, 35.925% 
0, 0, 1, 23.077% 
0, 1, 0, 21.951% 
0, 1, 1, 16.905% 
0, 1, 3, 14.495% 
0, 2, 0, 15.379% 
0, 2, 1, 15.622% 
0, 2, 2, 14.776% 
0, 2, 3, nan% 
1, 0, 0, 20.479% 
1, 0, 1, 16.506% 
1, 0, 2, 16.041% 
1, 0, 3, 14.827% 
1, 1, 0, 14.732% 
1, 2, 0, 15.703% 
2, 0, 0, 13.444% 
2, 0, 1, 13.097% 
2, 0, 2, 13.155% 
2, 1, 0, 15.136% 
2, 2, 0, 15.249% 
4, 0, 0, 13.195% 
4, 1, 0, 14.892% 
4, 2, 0, 14.335% 
6, 0, 0, 12.741% 
6, 1, 0, 14.397% 
6, 2, 0, 15.219% 
8, 0, 0, 12.908% 
8, 2, 0, 15.594% 
